region,projects,concluded,concluded_share,concluded_low,concluded_high,commissioning,commissioning_share,commissioning_low,commissioning_high,total_funding_eur,pnrr_funding_eur,mature_funding_eur,authorized_places,coverage_per_100,source_year,estimated_children_0_2,funding_per_child,projects_per_100k_children,mature_funding_per_child,mature_funding_share
Abruzzo,134,8,0.05970149253731343,0.030559034028733424,0.11338502308186452,64,0.47761194029850745,0.39484767990661,0.561624051810878,136558816.57,127269094.78999999,63218785.47,7300,29.9,2023/24,24414.715719063544,5593.2994732095885,548.8493150684932,2589.372171990411,0.4629418082104869
Basilicata,62,4,0.06451612903225806,0.025372905520440803,0.15447515727752878,32,0.5161290322580645,0.39447459605660673,0.6359014016175426,45598848.839999996,42710262.96,23261600.029999997,2488,25.3,2023/24,9833.99209486166,4636.860432684887,630.4662379421222,2365.42797732717,0.5101356859165833
Calabria,349,6,0.017191977077363897,0.007902452168801777,0.03699436600455349,100,0.28653295128939826,0.2416225617589353,0.33609146170643533,315687236.78999996,305985665.62,97494649.36,6953,17.2,2023/24,40424.41860465117,7809.320398084278,863.3395656551128,2411.7761671105995,0.3088330410546656
Campania,472,30,0.0635593220338983,0.044881027363584375,0.08928437087413152,205,0.4343220338983051,0.39031347350739515,0.4793910281691543,501065121.3,474638287.64,215491544.88,20355,15.4,2023/24,132175.32467532466,3790.9127329992634,357.10144927536237,1630.3462496448049,0.43006694283751573
Emilia-Romagna,116,28,0.2413793103448276,0.17260828506147008,0.3267302527831707,85,0.7327586206896551,0.6457194624767324,0.8048758534630909,188086122.48000002,143806307.19,120155607.39,39874,44.4,2023/24,89806.3063063063,2094.353172019863,129.16687565832373,1337.9417585684907,0.6388329229487766
Friuli-Venezia Giulia,31,10,0.3225806451612903,0.18569426566359176,0.49858990691914357,24,0.7741935483870968,0.6018758161665794,0.886048644387375,32784394.49,24282389.75,25914314.53,8904,40.4,2023/24,22039.60396039604,1487.521942268643,140.65588499550762,1175.8067239577717,0.7904466418589634
Lazio,229,17,0.07423580786026202,0.04686281704188661,0.11565746183093634,85,0.37117903930131,0.3112134825402782,0.4353952172212426,256517542.8,227368803.18,85105468.49000001,44548,39.8,2023/24,111929.64824120604,2291.774760581844,204.59279877884524,760.347859814582,0.33177250788011214
Liguria,49,5,0.10204081632653061,0.04437954674476266,0.21756361549195893,23,0.46938775510204084,0.3370350369317515,0.6061913601633808,61234186.65,46853676.779999994,26144809.96,9002,34.6,2023/24,26017.341040462426,2353.591266485226,188.33592534992226,1004.8993830437681,0.42696427257926195
Lombardia,275,63,0.2290909090909091,0.18335620406850306,0.28228997125217337,181,0.6581818181818182,0.6002875935206928,0.7117176598155566,280632181.14,222823926.13,182924130.76000002,78138,37.8,2023/24,206714.28571428574,1357.5848431098823,133.0338631651693,884.9128647684865,0.6518287746505594
Marche,87,5,0.05747126436781609,0.02479563779315351,0.12757376490451622,56,0.6436781609195402,0.5389320425142164,0.736272696869657,110728957.64,90449459.85,74240206.24000001,9518,34.6,2023/24,27508.67052023121,4025.238426501366,316.26392099180504,2698.7929564026063,0.6704678507077474
Molise,48,4,0.08333333333333333,0.032883756818091775,0.1955330179036728,15,0.3125,0.19945683446587817,0.4533307141589159,47561047.17,44575546.41,12499702.610000001,1182,23.5,2023/24,5029.787234042554,9455.876552411166,954.3147208121825,2485.135459686971,0.2628138645753876
Piemonte,135,27,0.2,0.1412498917666589,0.27535087944385617,88,0.6518518518518519,0.568299019288954,0.7270018249131313,136759799.71999997,108210051.28999999,85506551.8,26998,33.9,2023/24,79640.1179941003,1717.222464815171,169.51255648566558,1073.6617919919993,0.6252316249004816
